text,hashtags,date,user,users number of followers,location
"@drexelpubhealth @KolkerJennifer mixes public health &amp; hospitality in COVID times. Heater, fire pit, fleece &amp; more to keep socializing outside as creatively as we can as winter arrives. https://t.co/oSLS32qPRt https://t.co/XJDAGzjOtZ
",[],2020-10-16 00:10:20,mbbrad,626,"Philadelphia, PA"
"There was no mask mandate in force for the community. The gym followed the rules, but #WearAMask should have been one of them. #COVID19
",['WearAMask'],2020-10-16 00:10:20,juliebejulie,76,"Austin, TX"
"@mattyglesias Meanwhile, the NBC ""moderator"" is arguing with Trump about COVID practices, and not a single actual town hall question has been reached yet. WTF?
",[],2020-10-16 00:10:20,JDG_1980,56,
"Our president is a dangerous liar.
",[],2020-10-16 00:10:20,Brettkins,4075,"New York, NY"
"Trump is calling COVID deaths “excess mortality.”
",[],2020-10-16 00:10:21,ClaraJeffery,132688,"ÜT: 37.770364,-122.410351"
"Anybody can give anybody COVID. A Gold Star family can give you COVID, you can give them COVID, same with a guy at the grocery store or a neighbor or whoever. This is why it is good to take some basic precautions, when interacting with people.
",[],2020-10-16 00:10:22,sam_baker,15133,"Washington, DC"
"Missouri released its plan to distribute an oncoming COVID-19 vaccine. https://t.co/NlGfKLpvQP
",[],2020-10-16 00:10:22,939TheEagle,2586,"Columbia, Mo"
"Exclusive: China Had COVID-Like Patients Months Before Official Timeline https://t.co/2tbsXoW08X
",[],2020-10-16 00:10:23,93ip,1529,New Zealand
"Coronavirus updates: Elk Grove senior facility reports COVID https://t.co/zzAyKivhF2 #seniors #seniorcare  #senior #seniorliving #assistedliving #homecare #dementia #seniorpictures #healthcare #eldercare #health #elderly
","['seniors', 'seniorcare', 'senior']",2020-10-16 00:10:23,JInfo4us,1904,
"@t_rats91 @thebradfordfile Enough with COVID. Democrats have NOTHING else
",[],2020-10-16 00:10:23,ThisThatOther2,119,Outside the box
"This is how you treat a fatally contagious pandemic!
",[],2020-10-16 00:10:23,twilight2000,1683,Left Coast of the US
"So many frigging idiot republicans. Trump admits exposing Chief of Staff Mark Meadows to Covid-19: 'He didn't care. He's from North Carolina' https://t.co/PX5fPuXKFU
",[],2020-10-16 00:10:24,Happyjam5,807,"Los Angeles, Ca"
"My good buddy @BennyRaskin wrote about his experience surviving #COVID19 and describes the unrelenting misery he endured. We are all thankful you're still with us brother.  #WearAMask #SocialDistancing #WashYourHands
",['COVID19'],2020-10-16 00:10:25,MattMietchen,228,"Pullman, WA"
"Yeah lets talk about masks and Trump getting covid for 20 minutes... move on for fucks sake.
",[],2020-10-16 00:10:25,DanceJamesDance,9,Ur Mum m8
"Wow it’s awesome to hear Biden discuss Covid at length without Trump stomping on his words, disgorging toxic bilge.
",[],2020-10-16 00:10:25,DickPolman1,3292,Philadelphia
"As we said... another one is off the books. Two of the top games of the week we had picked out for this week have been wiped off the books. #flhsfb
",[],2020-10-16 00:10:25,FlaHSFootball,51784,"Gainesville, FL"
"Sorry America! But at least our leader is smart 😆🤣    https://t.co/vOH4B7fxKI
",[],2020-10-16 00:10:26,Rlboo22Lang,4131,
"10 minutes into an hour long Town Hall... and she's STILL going on about his COVID diagnosis...
",[],2020-10-16 00:10:26,travelinjeebus,245,
"False
",[],2020-10-16 00:10:26,jaRealty_,244, Land of Wano/Samurai Country
"Just wear a fucking mask! To hell with your ""freedoms"".
",[],2020-10-16 00:10:26,chadmccullough,2823,Metro St. Louis
"@SharylAttkisson All Covid shaming by Savannah.
",[],2020-10-16 00:10:27,petemanderson1,259,
"Can this bitch shut up about covid.  #TrumpTownHall
",['TrumpTownHall'],2020-10-16 00:10:27,Lmstone19,864,#BostonStrong   #Merica
"Where's your ""Covid"" concern with this? Huh? They are NOT ""social distant""!  Thought the so-called ""Covid"" was so big here. What a crock!  Oh yeah that's right, the so-called ""Covid"" problems are ONLY directed at Conservatives and Law Abiding citizens.
",[],2020-10-16 00:10:27,PBLsRealCars,7727,"Milwaukee, WI"
"#TrumpTownHall Did we just hear soft blaming of Gold Start Families for President’s COVID-19 infection, or am I misunderstanding @realDonaldTrump?
",['TrumpTownHall'],2020-10-16 00:10:27,hadzic_emir,469,"Wildwood, MO"
"This is why it’s silly that people are mad at NBC. The more he’s on TV the more Biden soars.
",[],2020-10-16 00:10:27,ArevFTW,533,Massachusetts
"@JoeBiden wasn't getting  briefings when Trump told Bob Woodard Covid kills young and old @GStephanopoulos .  You ""pressing"" Joe by asking questions in the context of Trumps LIES is disingenuous in getting to FACTS for voters.  Stop it.
",[],2020-10-16 00:10:28,fwilson6,525,
"Bro really thought you could just say “freeze” to covid like it’s playing tag...this is the type of person who runs the country...
",[],2020-10-16 00:10:28,JoeDoe_,148,"Raleigh, NC"
"10-15-2020:  Unlike Thailand, which has 0.8 deaths per 1M pop, distrusts the fake promises from foreign vaccine suppliers, and makes their own COVID-19 vaccine, Vietnam, which has 0.4 deaths per 1M pop from COVID-19 welcomes promises of foreign vaccines: https://t.co/Sa1TwzBTuU
",[],2020-10-16 00:10:28,rmchavin,26,"Honolulu, HI"
"please i am begging you to not walk as 3 people shoulder-to-shoulder down the skinny sidewalk during covid forcing me to jam myself into the telephone pole to distance myself please
",[],2020-10-16 00:10:28,LuigiOdyssey,6159,Taco Bell Live Mas(sachusetts)
"Th is is really good, @DrIanWeissman
",[],2020-10-16 00:10:29,hokiesmash_ASD,1251,"Alexandria, VA"
"@ddale8 Let the predictable B.S. Fest begin on @NBCNews 🙄 Meanwhile on @ABC our next POTUS is talking about how seriously we need to take Covid; what he personally will do; and how horribly the idiot on that other channel has handled it......
",[],2020-10-16 00:10:29,Flywriter2,797,
